N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.001427,0.001128,0.000206,0.000193,0.000953,0.000223,0.000157,0.000121,0.000129,0.000360,0.000716,0.000291,0.000415,0.000017,0.000008,0.000008,0.000308,0.000004,0.000005,0.000343,0.000003,0.000184
1000.000000,0.004463,0.003198,0.000420,0.000401,0.002934,0.000371,0.000151,0.000122,0.000140,0.000631,0.001965,0.000603,0.000818,0.000034,0.000007,0.000016,0.000894,0.000007,0.000007,0.000868,0.000004,0.000646
1500.000000,0.007300,0.005053,0.000454,0.000423,0.004655,0.000460,0.000172,0.000152,0.000191,0.001009,0.003121,0.000689,0.001505,0.000024,0.000013,0.000016,0.001587,0.000009,0.000008,0.001493,0.000005,0.001130
2000.000000,0.008413,0.007060,0.000518,0.000505,0.006445,0.000501,0.000185,0.000163,0.000188,0.001304,0.004606,0.000791,0.001958,0.000025,0.000012,0.000025,0.002109,0.000008,0.000008,0.002226,0.000005,0.001610
2500.000000,0.011352,0.009978,0.000574,0.000551,0.009787,0.000568,0.000221,0.000188,0.000203,0.002077,0.007249,0.001105,0.002793,0.000034,0.000019,0.000021,0.003280,0.000016,0.000011,0.003352,0.000009,0.002646
3000.000000,0.015811,0.013593,0.000685,0.000737,0.014646,0.000751,0.000272,0.000230,0.000261,0.002501,0.011069,0.001178,0.004146,0.000043,0.000025,0.000028,0.004372,0.000012,0.000016,0.004704,0.000010,0.003533
3500.000000,0.022104,0.019568,0.000887,0.001045,0.020319,0.000916,0.000273,0.000287,0.000324,0.003205,0.015161,0.001523,0.005569,0.000041,0.000038,0.000033,0.005884,0.000014,0.000019,0.006561,0.000014,0.005084
4000.000000,0.028587,0.024465,0.001019,0.001050,0.029580,0.001033,0.000338,0.000285,0.000328,0.004671,0.022359,0.001988,0.007347,0.000049,0.000028,0.000041,0.007691,0.000018,0.000021,0.008531,0.000016,0.006572
4500.000000,0.034628,0.032077,0.001112,0.001072,0.035368,0.001207,0.000360,0.000352,0.000414,0.005189,0.028401,0.002069,0.008821,0.000052,0.000027,0.000049,0.009666,0.000021,0.000026,0.010753,0.000018,0.011438
5000.000000,0.042012,0.042362,0.001238,0.001244,0.047137,0.001520,0.000420,0.000401,0.000436,0.006505,0.038618,0.002548,0.011126,0.000087,0.000078,0.000057,0.012430,0.000029,0.000026,0.013313,0.000019,0.011621
5500.000000,0.051355,0.047976,0.001424,0.001373,0.054080,0.001557,0.000436,0.000407,0.000451,0.007641,0.044513,0.002582,0.013415,0.000076,0.000034,0.000050,0.014575,0.000025,0.000033,0.016048,0.000022,0.016549
6000.000000,0.063418,0.056663,0.001511,0.001500,0.062930,0.001707,0.000442,0.000437,0.000481,0.008684,0.053567,0.003218,0.015848,0.000081,0.000045,0.000054,0.017759,0.000031,0.000028,0.019214,0.000024,0.019924
6500.000000,0.074309,0.067914,0.001674,0.001695,0.076883,0.001924,0.000467,0.000467,0.000542,0.010643,0.065786,0.003156,0.018913,0.000088,0.000038,0.000062,0.022643,0.000061,0.000026,0.024725,0.000026,0.025713
7000.000000,0.083083,0.076341,0.001838,0.001751,0.089904,0.001993,0.000499,0.000488,0.000555,0.011896,0.075141,0.003614,0.021551,0.000133,0.000046,0.000072,0.024022,0.000068,0.000032,0.026618,0.000024,0.038718
7500.000000,0.106002,0.096351,0.002306,0.001952,0.114700,0.002778,0.000576,0.000610,0.000728,0.014658,0.093236,0.003937,0.025177,0.000129,0.000037,0.000071,0.027142,0.000040,0.000032,0.030647,0.000027,0.042238
8000.000000,0.117788,0.101702,0.002180,0.002042,0.113337,0.002378,0.000567,0.000579,0.000634,0.015559,0.096118,0.003925,0.028394,0.000113,0.000048,0.000079,0.031259,0.000053,0.000039,0.033881,0.000026,0.049765
8500.000000,0.123013,0.117409,0.002243,0.002188,0.135877,0.002482,0.000583,0.000560,0.000645,0.017061,0.114043,0.004018,0.031937,0.000118,0.000057,0.000078,0.034670,0.000079,0.000041,0.038070,0.000024,0.052338
9000.000000,0.137470,0.130188,0.002315,0.002329,0.152237,0.002616,0.000640,0.000635,0.000680,0.018896,0.131577,0.004516,0.035762,0.000144,0.000059,0.000091,0.039312,0.000048,0.000041,0.042536,0.000028,0.080854
9500.000000,0.160490,0.143809,0.002592,0.002428,0.172797,0.002850,0.000655,0.000690,0.000713,0.021532,0.153365,0.005039,0.039784,0.000171,0.000086,0.000084,0.044898,0.000113,0.000047,0.048988,0.000025,0.081440
9999.000000,0.170036,0.161674,0.002763,0.002664,0.186579,0.002995,0.000700,0.000726,0.000775,0.023460,0.170565,0.004845,0.044204,0.000128,0.000070,0.000098,0.048976,0.000095,0.000048,0.056412,0.000027,0.075591
